province,month,MinRain,MaxRain,AvgRain,AvgFloodRiskArea(Square meter),flooding,,,,
Phayao,10,46.93,62.83,55.24,26200648.21,0,,,,
Chiang Rai,10,25.32,96.02,59.55,20554196.06,0,,,,
Mae Hong Son,10,53.3,106.84,65.94,13223820.53,0,,,,
Nakhon Sawan,10,30.42,147.79,77.52,7632560.65,0,,,,
Uthai Thani,10,49.01,103.33,64.39,16452835.77,0,,,,
Kamphaeng Phet,10,34.45,118.31,91.48,21066429.12,0,,,,
Tak,10,61.8,190.85,114.83,17552436,0,,,,
Sukhothai,10,34.68,123.91,70.54,16871908.26,0,,,,
Phitsanulok,10,16.33,56.49,32.09,25141199.37,0,,,,
Phichit,10,13.5,65.51,33.63,28664263.22,0,,,,
Phetchabun,10,18.38,83.28,44.42,20605875.71,1,,,,
Ratchaburi,10,30.77,142.27,113.3,33572250.57,1,,,,
Kanchanaburi,10,37.63,124.79,73.35,26726127.71,0,,,,
Suphan Buri,10,36.99,74.55,58.74,5618383.53,0,,,,
Phetchaburi,10,46.81,128.66,101.95,7263070.95,1,,,,
Prachuap Khiri Khan,10,105.06,192.07,123.67,49348897.52,1,,,,
Nakhon Si Thammarat,10,193.16,470.27,283.31,32041150.66,1,,,,
Krabi,10,155.32,254.6,191.57,52404960.23,1,,,,
Phang Nga,10,129.5,224.44,190.77,33275572.12,0,,,,
Phuket,10,117.96,217.54,174.55,10355271.89,0,,,,
Surat Thani,10,182.29,499.43,260.28,28894275.72,1,,,,
Ranong,10,133.13,227.05,182.82,16694201.37,0,,,,
Chumphon,10,141.98,240.74,199.74,45488917.1,1,,,,
Songkhla,10,208.09,503.76,306.3,32478516.22,0,,,,
Satun,10,301.43,343.87,329.47,31545130.42,1,,,,
Trang,10,223.63,333.35,293.44,29424386.51,0,,,,
Phatthalung,10,293.93,337.78,323.72,26289445.11,1,,,,
Pattani,10,179.61,370.95,259.6,7694062.52,0,,,,
Yala,10,273.01,384.29,318.56,15713876.02,0,,,,
Narathiwat,10,228.31,336.39,266.27,22184404.17,0,,,,
Lopburi,11,1.35,9.6,5.48,8722670.03,0,,,,
Chainat,11,4.75,8.99,6.43,23682656.7,0,,,,
Saraburi,11,3.52,7.87,5.2,2923294.87,0,,,,
Chonburi,11,2.64,75.19,26,11319017.89,0,,,,
Rayong,11,15.97,75.03,24.88,15922802.72,0,,,,
Chanthaburi,11,7.58,38.7,22.01,18460418.16,0,,,,
Chachoengsao,11,2.17,42.59,14.12,9174664.91,0,,,,
Prachinburi,11,0.4,18.78,3.27,21851777.16,0,,,,
Nakhon Nayok,11,2.4,13.73,5.63,11773961.86,0,,,,
Sa Kaeo,11,0.6,10.41,2,37193369.19,0,,,,
Nakhon Ratchasima,11,1.27,8.4,4.49,22767984.2,0,,,,
Buriram,11,1.77,5.96,3.24,14055806.19,0,,,,
Surin,11,1.77,4.62,2.81,13958581.75,0,,,,
Sisaket,11,2.79,9.79,6.83,14810896.18,1,,,,
Ubon Ratchathani,11,5.17,17.4,10.41,20630426.33,0,,,,
Yasothon,11,0.88,7.63,3.32,6286209.15,0,,,,
Chaiyaphum,11,1,11.18,4.68,29713290.43,1,,,,
Bueng Kan,11,0.52,2.85,1.88,70155.12,0,,,,
Nong Bua Lamphu,11,0.6,9.24,2.05,30419695.72,0,,,,
Khon Kaen,11,2.81,17.79,9.21,16875137.96,1,,,,
Udon Thani,11,0,8.58,1.77,17186879.75,0,,,,
Loei,11,0.2,13.84,2.53,13529579.56,0,,,,
Nong Khai,11,0.2,1.47,0.51,21599891.95,0,,,,
Maha Sarakham,11,0.67,11.99,3.9,13016655.59,0,,,,
Roi Et,11,0,4.97,1.44,14669883.22,0,,,,
Kalasin,11,1.38,8.34,3.69,11208279.07,0,,,,
Sakon Nakhon,11,0.99,3.35,1.89,86.5,0,,,,
Chiang Mai,11,4.19,55.99,25.28,20264146.45,0,,,,
Lamphun,11,9.21,46.16,22.31,5004568.22,0,,,,
Lampang,11,1.02,31.93,13.94,8599406.57,0,,,,
Uttaradit,11,6.1,32.9,22.79,16085958.93,0,,,,
Phrae,11,8.1,28.69,15.64,16892142.82,0,,,,
Nan,11,0.96,20.04,10.69,22743154.42,0,,,,
Phayao,11,2,18.57,8.79,26200648.21,0,,,,
Chiang Rai,11,9.23,39.78,22.71,20554196.06,0,,,,
Mae Hong Son,11,0.7,35.06,14.14,13223820.53,0,,,,
Nakhon Sawan,11,0.7,14.65,5.7,7632560.65,0,,,,
Uthai Thani,11,6.11,14.18,7.55,16452835.77,0,,,,
Kamphaeng Phet,11,7.83,42.64,18.97,21066429.12,0,,,,
Tak,11,0.01,55.3,16.41,17552436,0,,,,
Sukhothai,11,10.56,70.42,33.89,16871908.26,0,,,,
Phitsanulok,11,7.15,33.65,17.46,25141199.37,0,,,,
Phichit,11,4.63,20.36,10.99,28664263.22,0,,,,
Phetchabun,11,1.8,12.5,5.83,20605875.71,0,,,,
Ratchaburi,11,6.01,32.68,17.25,33572250.57,0,,,,
Kanchanaburi,11,6.92,51.09,18.65,26726127.71,0,,,,
Suphan Buri,11,5.07,18.81,9.3,5618383.53,0,,,,
Phetchaburi,11,9.2,47.38,24.31,7263070.95,0,,,,
Prachuap Khiri Khan,11,9.73,161.15,85.63,49348897.52,0,,,,
Nakhon Si Thammarat,11,106.11,498.4,270.66,32041150.66,1,,,,
Krabi,11,65.33,190.45,115.04,52404960.23,1,,,,
Phang Nga,11,158.44,308.77,245.08,33275572.12,0,,,,
Phuket,11,136.89,288.81,202.09,10355271.89,0,,,,
Surat Thani,11,83.04,254.26,166.96,28894275.72,0,,,,
Ranong,11,105.92,190,142.54,16694201.37,0,,,,
Chumphon,11,111.94,181.2,157.29,45488917.1,0,,,,
Songkhla,11,168.88,431.78,255.45,32478516.22,0,,,,
Satun,11,101.11,261.84,184.11,31545130.42,0,,,,
Trang,11,120.32,290.34,211.14,29424386.51,0,,,,
Phatthalung,11,245.41,443.12,344.14,26289445.11,1,,,,
Pattani,11,162.51,384.17,232.56,7694062.52,0,,,,
Yala,11,153.48,317.71,221.24,15713876.02,1,,,,
Narathiwat,11,209.46,445.77,346.58,22184404.17,0,,,,
Lopburi,12,0,0,0,8722670.03,0,,,,
Chainat,12,0,0,0,23682656.7,0,,,,
Saraburi,12,0,0,0,2923294.87,0,,,,
Chonburi,12,0,5.17,1.29,11319017.89,0,,,,
Rayong,12,1.59,8.98,3.99,15922802.72,0,,,,
Chanthaburi,12,0,2.35,0.43,18460418.16,0,,,,
Chachoengsao,12,0,1.68,0.05,9174664.91,0,,,,
Prachinburi,12,0,0,0,21851777.16,0,,,,
Nakhon Nayok,12,0,0.02,0,11773961.86,0,,,,
Sa Kaeo,12,0,0,0,37193369.19,0,,,,
Nakhon Ratchasima,12,0,0,0,22767984.2,0,,,,
Buriram,12,0,0,0,14055806.19,0,,,,
Surin,12,0,0,0,13958581.75,0,,,,
Sisaket,12,0,0,0,14810896.18,0,,,,
Ubon Ratchathani,12,0,0,0,20630426.33,0,,,,
Yasothon,12,0,0,0,6286209.15,0,,,,
Chaiyaphum,12,0,0,0,29713290.43,0,,,,
Bueng Kan,12,0,0,0,70155.12,0,,,,
Nong Bua Lamphu,12,0,0,0,30419695.72,0,,,,
Khon Kaen,12,0,0,0,16875137.96,0,,,,
Udon Thani,12,0,0,0,17186879.75,0,,,,
Loei,12,0,0,0,13529579.56,0,,,,
Nong Khai,12,0,0,0,21599891.95,0,,,,
Maha Sarakham,12,0,0,0,13016655.59,0,,,,
Roi Et,12,0,0,0,14669883.22,0,,,,
Kalasin,12,0,0,0,11208279.07,0,,,,
Sakon Nakhon,12,0,0,0,86.5,0,,,,
Chiang Mai,12,0,17.71,10.13,20264146.45,0,,,,
Lamphun,12,0,19.9,10.72,5004568.22,0,,,,
Lampang,12,0,17.39,9.4,8599406.57,0,,,,
Uttaradit,12,0,0.9,0.11,16085958.93,0,,,,
Phrae,12,0,8.09,2.41,16892142.82,0,,,,
Nan,12,0,3.38,0.51,22743154.42,0,,,,
Phayao,12,0.61,17.2,9.7,26200648.21,0,,,,
Chiang Rai,12,10,19.2,16.28,20554196.06,0,,,,
Mae Hong Son,12,0,11.79,5.97,13223820.53,0,,,,
Nakhon Sawan,12,0,0.03,0,7632560.65,0,,,,
Uthai Thani,12,0,0.02,0,16452835.77,0,,,,
Kamphaeng Phet,12,0.01,0.1,0.04,21066429.12,0,,,,
Tak,12,0,6.1,0.14,17552436,0,,,,
Sukhothai,12,0,3.9,0.22,16871908.26,0,,,,
Phitsanulok,12,0,0.02,0,25141199.37,0,,,,
Phichit,12,0,0.02,0,28664263.22,0,,,,
Phetchabun,12,0,0,0,20605875.71,0,,,,
Ratchaburi,12,0,0.15,0.04,33572250.57,0,,,,
Kanchanaburi,12,0,0.02,0,26726127.71,0,,,,
Suphan Buri,12,0,0.01,0,5618383.53,0,,,,
Phetchaburi,12,0,0.8,0.17,7263070.95,0,,,,
Prachuap Khiri Khan,12,0,79.15,12.63,49348897.52,0,,,,
Nakhon Si Thammarat,12,14.87,207.09,120.33,32041150.66,0,,,,
Krabi,12,8.11,51.93,29.21,52404960.23,0,,,,
Phang Nga,12,37.06,50.51,43.68,33275572.12,0,,,,
Phuket,12,40.69,51.99,47.4,10355271.89,0,,,,
Surat Thani,12,25.55,161.43,52.06,28894275.72,0,,,,
Ranong,12,12.62,88.55,44.29,16694201.37,0,,,,
Chumphon,12,17.48,106.1,73.07,45488917.1,1,,,,
Songkhla,12,26,224.07,91.27,32478516.22,0,,,,
Satun,12,16.54,96.72,50.79,31545130.42,0,,,,
Trang,12,32.82,133.68,82.1,29424386.51,0,,,,
Phatthalung,12,80.23,231.64,161.21,26289445.11,1,,,,
Pattani,12,74.9,185.28,126.67,7694062.52,0,,,,
Yala,12,96.54,189.54,150.64,15713876.02,0,,,,
Narathiwat,12,152.8,200.79,176.24,22184404.17,0,,,,
Lopburi,1,0,0,0,8722670.03,0,,,,
Chainat,1,0,0,0,23682656.7,0,,,,
Saraburi,1,0,2.61,0.2,2923294.87,0,,,,
Chonburi,1,0.01,22.07,6.58,11319017.89,0,,,,
Rayong,1,2.33,42.52,16.95,15922802.72,0,,,,
Chanthaburi,1,11.66,33.67,20.54,18460418.16,0,,,,
Chachoengsao,1,0.79,17.06,5.11,9174664.91,0,,,,
Prachinburi,1,0,22.65,5.48,21851777.16,0,,,,
Nakhon Nayok,1,0,6.59,1.28,11773961.86,0,,,,
Sa Kaeo,1,0,26.29,10.41,37193369.19,0,,,,
Nakhon Ratchasima,1,0,10.41,1.03,22767984.2,0,,,,
Buriram,1,0,6.08,1.61,14055806.19,0,,,,
Surin,1,0.1,4.63,0.94,13958581.75,0,,,,
Sisaket,1,0.71,1.8,1.13,14810896.18,0,,,,
Ubon Ratchathani,1,0,1.81,0.71,20630426.33,0,,,,
Yasothon,1,1.11,8.99,3.68,6286209.15,0,,,,
Chaiyaphum,1,0,1.18,0.06,29713290.43,0,,,,
Bueng Kan,1,4.69,13.76,9.02,70155.12,0,,,,
Nong Bua Lamphu,1,0,1.05,0.03,30419695.72,0,,,,
Khon Kaen,1,0,3.69,0.86,16875137.96,0,,,,
Udon Thani,1,0,19.55,2.38,17186879.75,0,,,,
Loei,1,0,0.07,0.01,13529579.56,0,,,,
Nong Khai,1,0,6.44,1.62,21599891.95,0,,,,
Maha Sarakham,1,0.49,9.32,3.44,13016655.59,0,,,,
Roi Et,1,0.58,14.07,4.82,14669883.22,0,,,,
Kalasin,1,2.51,20.88,12.29,11208279.07,0,,,,
Sakon Nakhon,1,5.75,27.57,16.76,86.5,0,,,,
Chiang Mai,1,0,0.02,0,20264146.45,0,,,,
Lamphun,1,0,0.02,0.01,5004568.22,0,,,,
Lampang,1,0,0.1,0.02,8599406.57,0,,,,
Uttaradit,1,0,0.1,0.01,16085958.93,0,,,,
Phrae,1,0,0.05,0.01,16892142.82,0,,,,
Nan,1,0,0.01,0,22743154.42,0,,,,
Phayao,1,0,0.01,0,26200648.21,0,,,,
Chiang Rai,1,0,0.01,0,20554196.06,0,,,,
Mae Hong Son,1,0,0,0,13223820.53,0,,,,
Nakhon Sawan,1,0,0.28,0.03,7632560.65,0,,,,
Uthai Thani,1,0,0.04,0,16452835.77,0,,,,
Kamphaeng Phet,1,0,0.35,0.06,21066429.12,0,,,,
Tak,1,0,0.01,0,17552436,0,,,,
Sukhothai,1,0,0.2,0.02,16871908.26,0,,,,
Phitsanulok,1,0,0.54,0.18,25141199.37,0,,,,
Phichit,1,0.07,0.6,0.36,28664263.22,0,,,,
Phetchabun,1,0,0.27,0.03,20605875.71,0,,,,
Ratchaburi,1,0,4.18,0.23,33572250.57,0,,,,
Kanchanaburi,1,0,0,0,26726127.71,0,,,,
Suphan Buri,1,0,2.26,0.13,5618383.53,0,,,,
Phetchaburi,1,0,0.79,0.35,7263070.95,0,,,,
Prachuap Khiri Khan,1,0,44.79,10.3,49348897.52,0,,,,
Nakhon Si Thammarat,1,0,31.09,13.89,32041150.66,0,,,,
Krabi,1,0.4,9.7,5.43,52404960.23,0,,,,
Phang Nga,1,1.64,7.62,2.63,33275572.12,0,,,,
Phuket,1,0,2.8,1.35,10355271.89,0,,,,
Surat Thani,1,0,16.37,2.65,28894275.72,0,,,,
Ranong,1,2.31,51.23,20.98,16694201.37,0,,,,
Chumphon,1,10.05,63.5,40.09,45488917.1,0,,,,
Songkhla,1,0,23.8,8.13,32478516.22,0,,,,
Satun,1,8.28,25.29,15.55,31545130.42,0,,,,
Trang,1,2.48,13.51,6.46,29424386.51,0,,,,
Phatthalung,1,6.61,14.83,10.9,26289445.11,0,,,,
Pattani,1,0.2,23.01,8.67,7694062.52,0,,,,
Yala,1,7.48,19.04,13.29,15713876.02,0,,,,
Narathiwat,1,14.71,27.4,20.63,22184404.17,0,,,,
Lopburi,2,0,0.02,0,8722670.03,0,,,,
Chainat,2,0,0,0,23682656.7,0,,,,
Saraburi,2,0,0.1,0.02,2923294.87,0,,,,
Chonburi,2,0.02,25.98,10.6,11319017.89,0,,,,
Rayong,2,2.34,44.06,20.82,15922802.72,0,,,,
Chanthaburi,2,3.2,22.54,13.37,18460418.16,0,,,,
Chachoengsao,2,0.02,30.19,12.96,9174664.91,0,,,,
Prachinburi,2,0,12.83,1.66,21851777.16,0,,,,
Nakhon Nayok,2,0,4.32,0.41,11773961.86,0,,,,
Sa Kaeo,2,0,9,1.6,37193369.19,0,,,,
Nakhon Ratchasima,2,0,1.82,0.21,22767984.2,0,,,,
Buriram,2,0,2.4,0.83,14055806.19,0,,,,
Surin,2,0,0.61,0.07,13958581.75,0,,,,
Sisaket,2,0,0,0,14810896.18,0,,,,
Ubon Ratchathani,2,0,0.91,0.1,20630426.33,0,,,,
Yasothon,2,0,1.48,0.42,6286209.15,0,,,,
Chaiyaphum,2,0,0.11,0,29713290.43,0,,,,
Bueng Kan,2,0,0,0,70155.12,0,,,,
Nong Bua Lamphu,2,0,0,0,30419695.72,0,,,,
Khon Kaen,2,0,0,0,16875137.96,0,,,,
Udon Thani,2,0,0.05,0,17186879.75,0,,,,
Loei,2,0,0.07,0,13529579.56,0,,,,
Nong Khai,2,0,0.06,0,21599891.95,0,,,,
Maha Sarakham,2,0,0,0,13016655.59,0,,,,
Roi Et,2,0,0.88,0.07,14669883.22,0,,,,
Kalasin,2,0,0.65,0.06,11208279.07,0,,,,
Sakon Nakhon,2,0,0.21,0.02,86.5,0,,,,
Chiang Mai,2,0,0.02,0,20264146.45,0,,,,
Lamphun,2,0,0.02,0.01,5004568.22,0,,,,
Lampang,2,0,0.21,0.03,8599406.57,0,,,,
Uttaradit,2,0,0.39,0.08,16085958.93,0,,,,
Phrae,2,0,0.41,0.09,16892142.82,0,,,,
Nan,2,0,0.9,0.3,22743154.42,0,,,,
Phayao,2,0,0.33,0.1,26200648.21,0,,,,
Chiang Rai,2,0,0.02,0,20554196.06,0,,,,
Mae Hong Son,2,0,0,0,13223820.53,0,,,,
Nakhon Sawan,2,0,1.1,0.2,7632560.65,0,,,,
Uthai Thani,2,0,0.63,0.15,16452835.77,0,,,,
Kamphaeng Phet,2,0.33,4.2,1.83,21066429.12,0,,,,
Tak,2,0,1.52,0.15,17552436,0,,,,
Sukhothai,2,0,1.62,0.15,16871908.26,0,,,,
Phitsanulok,2,0,0.98,0.05,25141199.37,0,,,,
Phichit,2,0,0.78,0.14,28664263.22,0,,,,
Phetchabun,2,0,0,0,20605875.71,0,,,,
Ratchaburi,2,0,6.15,0.91,33572250.57,0,,,,
Kanchanaburi,2,0,0.46,0.02,26726127.71,0,,,,
Suphan Buri,2,0,0,0,5618383.53,0,,,,
Phetchaburi,2,0.19,11.47,4.07,7263070.95,0,,,,
Prachuap Khiri Khan,2,0.01,113.8,28.08,49348897.52,0,,,,
Nakhon Si Thammarat,2,0.03,47.86,27.18,32041150.66,0,,,,
Krabi,2,1.8,17.14,9.22,52404960.23,0,,,,
Phang Nga,2,0.5,19.41,4.91,33275572.12,0,,,,
Phuket,2,0.21,12.49,5.62,10355271.89,0,,,,
Surat Thani,2,3.44,75.67,15.79,28894275.72,0,,,,
Ranong,2,9.97,130.36,53.51,16694201.37,0,,,,
Chumphon,2,22.18,152.3,102.85,45488917.1,0,,,,
Songkhla,2,29.3,87.05,44.78,32478516.22,0,,,,
Satun,2,22.22,39.37,31.03,31545130.42,0,,,,
Trang,2,7.97,39.71,21.51,29424386.51,0,,,,
Phatthalung,2,26.66,63.39,47.63,26289445.11,0,,,,
Pattani,2,32.3,126.78,71.2,7694062.52,0,,,,
Yala,2,62.48,133.74,93.86,15713876.02,0,,,,
Narathiwat,2,79.16,110.81,86.57,22184404.17,0,,,,
Lopburi,3,18.42,59.03,33.53,8722670.03,0,,,,
Chainat,3,1.8,15.86,6.37,23682656.7,0,,,,
Saraburi,3,39.23,80.65,61.49,2923294.87,0,,,,
Chonburi,3,0.23,71.93,45.41,11319017.89,0,,,,
Rayong,3,0.26,110.55,30.86,15922802.72,0,,,,
Chanthaburi,3,60.11,275.88,146.85,18460418.16,0,,,,
Chachoengsao,3,18.46,113.89,60.54,9174664.91,0,,,,
Prachinburi,3,12.91,102,61.86,21851777.16,0,,,,
Nakhon Nayok,3,17.58,105.75,57.7,11773961.86,0,,,,
Sa Kaeo,3,61.31,118.83,92.72,37193369.19,0,,,,
Nakhon Ratchasima,3,27.31,103.47,45.52,22767984.2,0,,,,
Buriram,3,6.14,79.01,44.07,14055806.19,0,,,,
Surin,3,1.94,35.38,13.89,13958581.75,0,,,,
Sisaket,3,1.84,26.07,4.97,14810896.18,0,,,,
Ubon Ratchathani,3,1.2,31.35,5.62,20630426.33,0,,,,
Yasothon,3,3.59,66.73,38.2,6286209.15,0,,,,
Chaiyaphum,3,28.68,111.55,53.47,29713290.43,0,,,,
Bueng Kan,3,82,99.68,92.35,70155.12,0,,,,
Nong Bua Lamphu,3,73.79,107.09,95.48,30419695.72,0,,,,
Khon Kaen,3,48.96,102.43,85.83,16875137.96,0,,,,
Udon Thani,3,58.91,110.5,94.44,17186879.75,0,,,,
Loei,3,42.61,127.91,77.71,13529579.56,0,,,,
Nong Khai,3,55.21,91.21,73.12,21599891.95,0,,,,
Maha Sarakham,3,27.96,115.28,77.85,13016655.59,0,,,,
Roi Et,3,17.54,73.43,52.16,14669883.22,0,,,,
Kalasin,3,61.94,107.69,81.54,11208279.07,0,,,,
Sakon Nakhon,3,89.71,120.15,104.5,86.5,0,,,,
Chiang Mai,3,0,11.2,2.7,20264146.45,0,,,,
Lamphun,3,0,17.15,5.82,5004568.22,0,,,,
Lampang,3,0,25.77,5.89,8599406.57,0,,,,
Uttaradit,3,0.66,49.11,9.86,16085958.93,0,,,,
Phrae,3,0.84,7.51,3.76,16892142.82,0,,,,
Nan,3,1.53,28.39,11.31,22743154.42,0,,,,
Phayao,3,0,18.19,6.73,26200648.21,0,,,,
Chiang Rai,3,0.8,11.02,3.94,20554196.06,0,,,,
Mae Hong Son,3,0,3.24,0.96,13223820.53,0,,,,
Nakhon Sawan,3,1.47,25.86,14.67,7632560.65,0,,,,
Uthai Thani,3,2.42,14.28,6.62,16452835.77,0,,,,
Kamphaeng Phet,3,0.45,13.55,4.9,21066429.12,0,,,,
Tak,3,0,5.11,0.55,17552436,0,,,,
Sukhothai,3,0,17.62,1.57,16871908.26,0,,,,
Phitsanulok,3,1.02,122.36,40.16,25141199.37,0,,,,
Phichit,3,7.2,40.47,16.29,28664263.22,0,,,,
Phetchabun,3,22.86,160.26,66.02,20605875.71,0,,,,
Ratchaburi,3,9.6,21.96,16.11,33572250.57,0,,,,
Kanchanaburi,3,1.09,21.15,9.39,26726127.71,0,,,,
Suphan Buri,3,7.11,24.9,13.68,5618383.53,0,,,,
Phetchaburi,3,0,16.99,5.37,7263070.95,0,,,,
Prachuap Khiri Khan,3,0,4.44,1.31,49348897.52,0,,,,
Nakhon Si Thammarat,3,0.01,41.07,14.42,32041150.66,0,,,,
Krabi,3,8.14,25.4,20.47,52404960.23,0,,,,
Phang Nga,3,1.93,28.47,9.59,33275572.12,0,,,,
Phuket,3,11.01,30.99,19.63,10355271.89,0,,,,
Surat Thani,3,0,26.26,6.41,28894275.72,0,,,,
Ranong,3,0,12.36,3.96,16694201.37,0,,,,
Chumphon,3,0,17.19,6.18,45488917.1,0,,,,
Songkhla,3,0,39.89,9.51,32478516.22,0,,,,
Satun,3,18.42,69.16,39.43,31545130.42,0,,,,
Trang,3,16.06,33.2,26.22,29424386.51,0,,,,
Phatthalung,3,1.21,24.81,9.53,26289445.11,0,,,,
Pattani,3,1.54,4.47,3.35,7694062.52,0,,,,
Yala,3,1.3,12.86,4.28,15713876.02,0,,,,
Narathiwat,3,2.36,5,4.26,22184404.17,0,,,,
Lopburi,4,3.5,64.21,25.11,8722670.03,0,,,,
Chainat,4,14.92,80.78,43.18,23682656.7,0,,,,
Saraburi,4,6.66,100.53,51.94,2923294.87,0,,,,
Chonburi,4,72.34,174.9,110.58,11319017.89,0,,,,
Rayong,4,103.09,174.74,121.31,15922802.72,0,,,,
Chanthaburi,4,101.26,133,113.23,18460418.16,0,,,,
Chachoengsao,4,29.68,111.88,79.9,9174664.91,0,,,,
Prachinburi,4,70.16,128.78,106.87,21851777.16,0,,,,
Nakhon Nayok,4,41.12,120.17,86.94,11773961.86,0,,,,
Sa Kaeo,4,91.7,116,109.54,37193369.19,0,,,,
Nakhon Ratchasima,4,35.3,147.06,73.71,22767984.2,0,,,,
Buriram,4,46.01,98.46,73.53,14055806.19,0,,,,
Surin,4,38.3,89.73,61.44,13958581.75,0,,,,
Sisaket,4,49.67,66.3,59.08,14810896.18,0,,,,
Ubon Ratchathani,4,29.1,60.57,46.47,20630426.33,0,,,,
Yasothon,4,51.72,70.83,59.91,6286209.15,0,,,,
Chaiyaphum,4,36.73,157.09,100.76,29713290.43,0,,,,
Bueng Kan,4,30.68,49.83,37.24,70155.12,0,,,,
Nong Bua Lamphu,4,37.06,71.65,52.09,30419695.72,0,,,,
Khon Kaen,4,35.67,126.18,76.6,16875137.96,0,,,,
Udon Thani,4,4.01,67.24,39.22,17186879.75,0,,,,
Loei,4,51.25,85.29,72.22,13529579.56,0,,,,
Nong Khai,4,38.82,69.89,56.33,21599891.95,0,,,,
Maha Sarakham,4,51.29,160.35,95.03,13016655.59,0,,,,
Roi Et,4,41.11,115.77,65.58,14669883.22,0,,,,
Kalasin,4,23.71,116.7,55.69,11208279.07,0,,,,
Sakon Nakhon,4,28.04,50.59,36.69,86.5,0,,,,
Chiang Mai,4,0.16,118.6,63.63,20264146.45,0,,,,
Lamphun,4,41.91,85.79,63.84,5004568.22,0,,,,
Lampang,4,37.27,135.13,77.71,8599406.57,0,,,,
Uttaradit,4,66.22,98.59,86.04,16085958.93,0,,,,
Phrae,4,56.72,110.11,76.2,16892142.82,0,,,,
Nan,4,57.31,129.41,90.18,22743154.42,0,,,,
Phayao,4,75.52,144.68,110.56,26200648.21,0,,,,
Chiang Rai,4,60.8,123.48,95.25,20554196.06,0,,,,
Mae Hong Son,4,48.95,103.5,71.82,13223820.53,0,,,,
Nakhon Sawan,4,2.01,78.28,23.89,7632560.65,0,,,,
Uthai Thani,4,11.72,82.63,41.22,16452835.77,0,,,,
Kamphaeng Phet,4,21.02,85.04,58.73,21066429.12,0,,,,
Tak,4,24.52,90.3,60.63,17552436,0,,,,
Sukhothai,4,57.91,116.04,80.41,16871908.26,0,,,,
Phitsanulok,4,32.9,157.87,95.15,25141199.37,0,,,,
Phichit,4,13.39,100.4,38.31,28664263.22,0,,,,
Phetchabun,4,21.94,113.97,65.61,20605875.71,0,,,,
Ratchaburi,4,33.3,53.89,42.43,33572250.57,0,,,,
Kanchanaburi,4,10.26,120.19,66.23,26726127.71,0,,,,
Suphan Buri,4,9.22,52.23,25.48,5618383.53,0,,,,
Phetchaburi,4,30.12,134.09,62.01,7263070.95,0,,,,
Prachuap Khiri Khan,4,25.53,122.55,62.27,49348897.52,0,,,,
Nakhon Si Thammarat,4,0.06,244.16,139.83,32041150.66,0,,,,
Krabi,4,83.01,188.85,139.68,52404960.23,0,,,,
Phang Nga,4,106.84,343.04,223.58,33275572.12,0,,,,
Phuket,4,131.82,145.85,141.02,10355271.89,0,,,,
Surat Thani,4,18.73,240.98,81.18,28894275.72,0,,,,
Ranong,4,52.72,166.36,96.1,16694201.37,0,,,,
Chumphon,4,58.15,197.97,121.17,45488917.1,0,,,,
Songkhla,4,23.65,181.62,80.28,32478516.22,0,,,,
Satun,4,76.29,206.79,129.09,31545130.42,0,,,,
Trang,4,34.81,135.33,73.67,29424386.51,0,,,,
Phatthalung,4,72.19,188.35,131.47,26289445.11,0,,,,
Pattani,4,84.5,136.95,98.56,7694062.52,0,,,,
Yala,4,81.39,123.84,100.27,15713876.02,0,,,,
Narathiwat,4,104.71,151.19,127.11,22184404.17,0,,,,
Lopburi,5,26.1,123.88,68.66,8722670.03,0,,,,
Chainat,5,40.01,108.34,66.12,23682656.7,0,,,,
Saraburi,5,31.97,205.59,105.65,2923294.87,0,,,,
Chonburi,5,41.43,187.58,98.39,11319017.89,0,,,,
Rayong,5,47.31,295.62,166.51,15922802.72,0,,,,
Chanthaburi,5,164.67,404.39,306.1,18460418.16,0,,,,
Chachoengsao,5,63.08,224.27,124.61,9174664.91,0,,,,
Prachinburi,5,66.51,295.11,130.13,21851777.16,0,,,,
Nakhon Nayok,5,59.25,310.03,160.25,11773961.86,0,,,,
Sa Kaeo,5,52.12,204.66,123.98,37193369.19,0,,,,
Nakhon Ratchasima,5,65.44,302.16,159,22767984.2,0,,,,
Buriram,5,50.31,166.91,112.42,14055806.19,0,,,,
Surin,5,49.9,118.45,82.62,13958581.75,0,,,,
Sisaket,5,79.38,184.34,132.31,14810896.18,0,,,,
Ubon Ratchathani,5,123.67,214.69,151.34,20630426.33,0,,,,
Yasothon,5,90.17,146.41,114.68,6286209.15,0,,,,
Chaiyaphum,5,73.56,165.99,116.66,29713290.43,0,,,,
Bueng Kan,5,259.88,275.39,268.03,70155.12,0,,,,
Nong Bua Lamphu,5,90.41,171.44,118.91,30419695.72,0,,,,
Khon Kaen,5,92.99,239.6,151.99,16875137.96,0,,,,
Udon Thani,5,107.64,341.78,189.54,17186879.75,0,,,,
Loei,5,65.11,170.93,89.52,13529579.56,0,,,,
Nong Khai,5,159.26,360.16,274.13,21599891.95,0,,,,
Maha Sarakham,5,59.69,215.99,114.12,13016655.59,0,,,,
Roi Et,5,56.15,148.17,98.42,14669883.22,0,,,,
Kalasin,5,107.5,258.79,160.53,11208279.07,0,,,,
Sakon Nakhon,5,198.64,373.61,264.89,86.5,0,,,,
Chiang Mai,5,0.13,127.79,67.17,20264146.45,0,,,,
Lamphun,5,51.58,102.72,81.89,5004568.22,0,,,,
